id,title,year,runtime
tt0002031,"As You Like It",1912,
tt0002039,"Atop of the World in Motion",1912,
tt0002040,"Las aventuras del Pollo Palomeque",1912,
tt0002044,"Le bagnard",1912,
tt0002046,"La Barrera número 13",1913,
tt0002047,"A Batalha",1912,
tt0002060,"Bernáték kikocsiznak",1912,
tt0002088,"Carlota Angela",1912,
tt0002089,Carmen,1912,
tt0002094,"Charles IV",1912,50
tt0002101,Cleopatra,1912,100
tt0002102,"The Clod",1912,
tt0002109,"The Colonel's Son",1912,
tt0002112,"Concurso Hípico no Porto",1912,
tt0002115,"La conspiration des drapeaux",1912,
tt0002119,"The Crime and the Criminal",1912,
tt0002130,"Dante's Inferno",1911,68
tt0002131,"A Dança dos Apaches",1912,
tt0002140,"Do Men Love Women?",1912,
tt0002152,"Dødskysset",1915,
tt0002153,"Dødsspring til hest fra cirkuskuplen",1912,45
tt0002156,"Eclipse de sol",1912,
tt0002157,"Der Eid des Stephan Huller",1912,
tt0002161,"Episódios da Terrível Explosão de Bombas no Porto",1912,
tt0002163,"When Honor Calls",1913,
tt0002165,"Excursión a San Lorenzo de Munt",1912,
tt0002167,Fadren,1912,
tt0002180,"Fiesta colombófila en el Tibidabo",1912,
tt0002186,"The Flying Circus",1912,46
tt0002188,"For Freedom of Cuba",1912,
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,60
tt0002202,"Le fumiste",1912,
tt0002211,"Den glade løjtnant",1912,
tt0002220,Grannie,1912,
tt0002234,"A Ruined Life",1912,
tt0002239,"Her Own Money",1914,
tt0002242,Herod,1912,
tt0002262,"Il y a des pieds au plafond",1912,
tt0002276,"De industrieel van Pont Avesnes",1912,
tt0002286,Judith,1912,
tt0002292,"King of the Coiners",1912,
tt0002301,Leiria,1912,
tt0002305,"Life of Villa",1912,
tt0002315,"El lobo de la sierra",1912,76
tt0002328,"The Lust for Gold",1912,
tt0002329,"Today and Tomorrow",1912,
tt0002333,"The Might of Gold",1912,
tt0002335,Magda,1912,
tt0002337,"The Mail Order Wife",1912,
tt0002345,"Marocco en het Vreemdelingenlegioen",1912,
tt0002348,"Maskierte Liebe",1912,
tt0002361,"The Midnight Wedding",1912,
tt0002362,"The Mighty Dollar",1912,
tt0002373,"Mor och dotter",1912,
tt0002375,"La mort du duc d'Enghien",1912,
tt0002395,"Le nègre blanc",1912,
tt0002405,"Oliver Twist",1912,
tt0002406,"Oliver Twist",1912,
tt0002410,"Only a Woman",1912,
tt0002423,"Madame DuBarry",1919,85
tt0002425,"Paul J. Rainey's African Hunt",1912,
tt0002431,"La pierre philosophe",1912,
tt0002432,"Los Pirineos de Port-Bou a Andorra",1912,58
tt0002438,"The Prodigal Daughter",1912,
tt0002439,"The Prodigal Son",1913,
tt0002444,"Quincy Adams Sawyer",1912,
tt0002445,"Quo Vadis?",1913,120
tt0002446,"Race for a Life",1912,
tt0002452,"The Independence of Romania",1912,120
tt0002458,"Revolución orozquista",1912,
tt0002459,"The Reward for Broncho Billy",1912,
tt0002461,"The Life and Death of King Richard III",1912,55
tt0002467,"Romani, the Brigand",1912,
tt0002474,"Saty delaji cloveka",1913,
